bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;bulan;tingkat_inflasi_bulan_ke_bulan;satuan
11;Aceh;1171;Banda Aceh;2014;Januari;1.85;Persen
11;Aceh;1171;Banda Aceh;2014;Februari;-0.45;Persen
11;Aceh;1171;Banda Aceh;2014;Maret;-0.52;Persen
11;Aceh;1171;Banda Aceh;2014;April;-0.15;Persen
11;Aceh;1171;Banda Aceh;2014;Mei;0.86;Persen
11;Aceh;1171;Banda Aceh;2014;Juni;0.40;Persen
11;Aceh;1171;Banda Aceh;2014;Juli;1.23;Persen
11;Aceh;1171;Banda Aceh;2014;Agustus;0.06;Persen
11;Aceh;1171;Banda Aceh;2014;September;0.47;Persen
11;Aceh;1171;Banda Aceh;2014;Oktober;0.38;Persen
11;Aceh;1171;Banda Aceh;2014;November;1.28;Persen
11;Aceh;1171;Banda Aceh;2014;Desember;2.19;Persen
11;Aceh;1174;Lhokseumawe;2014;Januari;2.42;Persen
11;Aceh;1174;Lhokseumawe;2014;Februari;-0.88;Persen
11;Aceh;1174;Lhokseumawe;2014;Maret;-0.77;Persen
11;Aceh;1174;Lhokseumawe;2014;April;-0.01;Persen
11;Aceh;1174;Lhokseumawe;2014;Mei;1.16;Persen
11;Aceh;1174;Lhokseumawe;2014;Juni;0.17;Persen
11;Aceh;1174;Lhokseumawe;2014;Juli;1.34;Persen
11;Aceh;1174;Lhokseumawe;2014;Agustus;0.27;Persen
11;Aceh;1174;Lhokseumawe;2014;September;0.50;Persen
11;Aceh;1174;Lhokseumawe;2014;Oktober;0.53;Persen
11;Aceh;1174;Lhokseumawe;2014;November;1.60;Persen
11;Aceh;1174;Lhokseumawe;2014;Desember;1.95;Persen
11;Aceh;1107;Meulaboh;2014;Januari;2.67;Persen
11;Aceh;1107;Meulaboh;2014;Februari;-1.28;Persen
11;Aceh;1107;Meulaboh;2014;Maret;-0.73;Persen
11;Aceh;1107;Meulaboh;2014;April;-0.06;Persen
11;Aceh;1107;Meulaboh;2014;Mei;0.42;Persen
11;Aceh;1107;Meulaboh;2014;Juni;0.20;Persen
11;Aceh;1107;Meulaboh;2014;Juli;2.41;Persen
11;Aceh;1107;Meulaboh;2014;Agustus;0.68;Persen
11;Aceh;1107;Meulaboh;2014;September;0.58;Persen
11;Aceh;1107;Meulaboh;2014;Oktober;0.82;Persen
11;Aceh;1107;Meulaboh;2014;November;01.08;Persen
11;Aceh;1107;Meulaboh;2014;Desember;1.17;Persen
11;Aceh;1171;Banda Aceh;2015;Januari;0.10;Persen
11;Aceh;1171;Banda Aceh;2015;Februari;-0.90;Persen
11;Aceh;1171;Banda Aceh;2015;Maret;-0.61;Persen
11;Aceh;1171;Banda Aceh;2015;April;0.08;Persen
11;Aceh;1171;Banda Aceh;2015;Mei;0.51;Persen
11;Aceh;1171;Banda Aceh;2015;Juni;1.20;Persen
11;Aceh;1171;Banda Aceh;2015;Juli;0.61;Persen
11;Aceh;1171;Banda Aceh;2015;Agustus;-0.22;Persen
11;Aceh;1171;Banda Aceh;2015;September;-0.36;Persen
11;Aceh;1171;Banda Aceh;2015;Oktober;0.10;Persen
11;Aceh;1171;Banda Aceh;2015;November;0.23;Persen
11;Aceh;1171;Banda Aceh;2015;Desember;0.54;Persen
11;Aceh;1174;Lhokseumawe;2015;Januari;0.44;Persen
11;Aceh;1174;Lhokseumawe;2015;Februari;-2.07;Persen
11;Aceh;1174;Lhokseumawe;2015;Maret;-0.50;Persen
11;Aceh;1174;Lhokseumawe;2015;April;0.79;Persen
11;Aceh;1174;Lhokseumawe;2015;Mei;0.37;Persen
11;Aceh;1174;Lhokseumawe;2015;Juni;01.03;Persen
11;Aceh;1174;Lhokseumawe;2015;Juli;0.30;Persen
11;Aceh;1174;Lhokseumawe;2015;Agustus;-0.15;Persen
11;Aceh;1174;Lhokseumawe;2015;September;0.22;Persen
11;Aceh;1174;Lhokseumawe;2015;Oktober;0.36;Persen
11;Aceh;1174;Lhokseumawe;2015;November;0.34;Persen
11;Aceh;1174;Lhokseumawe;2015;Desember;1.31;Persen
11;Aceh;1107;Meulaboh;2015;Januari;-0.12;Persen
11;Aceh;1107;Meulaboh;2015;Februari;-0.97;Persen
11;Aceh;1107;Meulaboh;2015;Maret;-0.64;Persen
11;Aceh;1107;Meulaboh;2015;April;0.08;Persen
11;Aceh;1107;Meulaboh;2015;Mei;0.67;Persen
11;Aceh;1107;Meulaboh;2015;Juni;0.57;Persen
11;Aceh;1107;Meulaboh;2015;Juli;0.84;Persen
11;Aceh;1107;Meulaboh;2015;Agustus;-0.63;Persen
11;Aceh;1107;Meulaboh;2015;September;-0.22;Persen
11;Aceh;1107;Meulaboh;2015;Oktober;0.05;Persen
11;Aceh;1107;Meulaboh;2015;November;0.28;Persen
11;Aceh;1107;Meulaboh;2015;Desember;0.49;Persen
11;Aceh;1171;Banda Aceh;2016;Januari;0.61;Persen
11;Aceh;1171;Banda Aceh;2016;Februari;0.02;Persen
11;Aceh;1171;Banda Aceh;2016;Maret;-0.26;Persen
11;Aceh;1171;Banda Aceh;2016;April;-1.09;Persen
11;Aceh;1171;Banda Aceh;2016;Mei;0.73;Persen
11;Aceh;1171;Banda Aceh;2016;Juni;1.10;Persen
11;Aceh;1171;Banda Aceh;2016;Juli;0.73;Persen
11;Aceh;1171;Banda Aceh;2016;Agustus;-0.35;Persen
11;Aceh;1171;Banda Aceh;2016;September;0.78;Persen
11;Aceh;1171;Banda Aceh;2016;Oktober;-0.02;Persen
11;Aceh;1171;Banda Aceh;2016;November;0.15;Persen
11;Aceh;1171;Banda Aceh;2016;Desember;0.71;Persen
11;Aceh;1174;Lhokseumawe;2016;Januari;0.29;Persen
11;Aceh;1174;Lhokseumawe;2016;Februari;-0.13;Persen
11;Aceh;1174;Lhokseumawe;2016;Maret;-0.19;Persen
11;Aceh;1174;Lhokseumawe;2016;April;-0.39;Persen
11;Aceh;1174;Lhokseumawe;2016;Mei;0.25;Persen
11;Aceh;1174;Lhokseumawe;2016;Juni;0.79;Persen
11;Aceh;1174;Lhokseumawe;2016;Juli;0.15;Persen
11;Aceh;1174;Lhokseumawe;2016;Agustus;0.49;Persen
11;Aceh;1174;Lhokseumawe;2016;September;1.44;Persen
11;Aceh;1174;Lhokseumawe;2016;Oktober;0.22;Persen
11;Aceh;1174;Lhokseumawe;2016;November;0.33;Persen
11;Aceh;1174;Lhokseumawe;2016;Desember;2.25;Persen
11;Aceh;1107;Meulaboh;2016;Januari;0.46;Persen
11;Aceh;1107;Meulaboh;2016;Februari;0.37;Persen
11;Aceh;1107;Meulaboh;2016;Maret;-0.07;Persen
11;Aceh;1107;Meulaboh;2016;April;-0.14;Persen
11;Aceh;1107;Meulaboh;2016;Mei;0.39;Persen
11;Aceh;1107;Meulaboh;2016;Juni;0.16;Persen
11;Aceh;1107;Meulaboh;2016;Juli;0.41;Persen
11;Aceh;1107;Meulaboh;2016;Agustus;0.52;Persen
11;Aceh;1107;Meulaboh;2016;September;0.83;Persen
11;Aceh;1107;Meulaboh;2016;Oktober;0.32;Persen
11;Aceh;1107;Meulaboh;2016;November;0.15;Persen
