bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,bulan,tingkat_inflasi_tahun_ke_tahun,satuan,
11,Aceh,1171,Banda Aceh,2013,Januari,1.25,Persen,
11,Aceh,1171,Banda Aceh,2013,Februari,1.83,Persen,
11,Aceh,1171,Banda Aceh,2013,Maret,1.29,Persen,
11,Aceh,1171,Banda Aceh,2013,April,1.72,Persen,
11,Aceh,1171,Banda Aceh,2013,Mei,2.14,Persen,
11,Aceh,1171,Banda Aceh,2013,Juni,3.26,Persen,
11,Aceh,1171,Banda Aceh,2013,Juli,4.94,Persen,
11,Aceh,1171,Banda Aceh,2013,Agustus,5.5,Persen,
11,Aceh,1171,Banda Aceh,2013,September,5.12,Persen,
11,Aceh,1171,Banda Aceh,2013,Oktober,5.61,Persen,
11,Aceh,1171,Banda Aceh,2013,November,6.35,Persen,
11,Aceh,1171,Banda Aceh,2013,Desember,6.39,Persen,
11,Aceh,1174,Lhokseumawe,2013,Januari,1.13,Persen,
11,Aceh,1174,Lhokseumawe,2013,Februari,3.29,Persen,
11,Aceh,1174,Lhokseumawe,2013,Maret,3.19,Persen,
11,Aceh,1174,Lhokseumawe,2013,April,3.08,Persen,
11,Aceh,1174,Lhokseumawe,2013,Mei,4.92,Persen,
11,Aceh,1174,Lhokseumawe,2013,Juni,3.66,Persen,
11,Aceh,1174,Lhokseumawe,2013,Juli,5.45,Persen,
11,Aceh,1174,Lhokseumawe,2013,Agustus,5.02,Persen,
11,Aceh,1174,Lhokseumawe,2013,September,5.63,Persen,
11,Aceh,1174,Lhokseumawe,2013,Oktober,7.1,Persen,
11,Aceh,1174,Lhokseumawe,2013,November,8.75,Persen,
11,Aceh,1174,Lhokseumawe,2013,Desember,8.27,Persen,
11,Aceh,1171,Banda Aceh,2014,Januari,7.17,Persen,
11,Aceh,1171,Banda Aceh,2014,Februari,6.5,Persen,
11,Aceh,1171,Banda Aceh,2014,Maret,6.09,Persen,
11,Aceh,1171,Banda Aceh,2014,April,5.61,Persen,
11,Aceh,1171,Banda Aceh,2014,Mei,6.67,Persen,
11,Aceh,1171,Banda Aceh,2014,Juni,5.33,Persen,
11,Aceh,1171,Banda Aceh,2014,Juli,4.45,Persen,
11,Aceh,1171,Banda Aceh,2014,Agustus,3.68,Persen,
11,Aceh,1171,Banda Aceh,2014,September,4.53,Persen,
11,Aceh,1171,Banda Aceh,2014,Oktober,4.78,Persen,
11,Aceh,1171,Banda Aceh,2014,November,6.18,Persen,
11,Aceh,1171,Banda Aceh,2014,Desember,7.83,Persen,
11,Aceh,1174,Lhokseumawe,2014,Januari,7.37,Persen,
11,Aceh,1174,Lhokseumawe,2014,Februari,5.41,Persen,
11,Aceh,1174,Lhokseumawe,2014,Maret,4.13,Persen,
11,Aceh,1174,Lhokseumawe,2014,April,4.05,Persen,
11,Aceh,1174,Lhokseumawe,2014,Mei,5.27,Persen,
11,Aceh,1174,Lhokseumawe,2014,Juni,5.26,Persen,
11,Aceh,1174,Lhokseumawe,2014,Juli,4.61,Persen,
11,Aceh,1174,Lhokseumawe,2014,Agustus,4.26,Persen,
11,Aceh,1174,Lhokseumawe,2014,September,5.12,Persen,
11,Aceh,1174,Lhokseumawe,2014,Oktober,5.79,Persen,
11,Aceh,1174,Lhokseumawe,2014,November,7.08,Persen,
11,Aceh,1174,Lhokseumawe,2014,Desember,8.53,Persen,
11,Aceh,1107,Meulaboh,2014,Januari,10.99,Persen,
11,Aceh,1107,Meulaboh,2014,Februari,7.87,Persen,
11,Aceh,1107,Meulaboh,2014,Maret,6.69,Persen,
11,Aceh,1107,Meulaboh,2014,April,6.41,Persen,
11,Aceh,1107,Meulaboh,2014,Mei,6.51,Persen,
11,Aceh,1107,Meulaboh,2014,Juni,5.76,Persen,
11,Aceh,1107,Meulaboh,2014,Juli,7.28,Persen,
11,Aceh,1107,Meulaboh,2014,Agustus,6.84,Persen,
11,Aceh,1107,Meulaboh,2014,September,7.52,Persen,
11,Aceh,1107,Meulaboh,2014,Oktober,6.89,Persen,
11,Aceh,1107,Meulaboh,2014,November,7.86,Persen,
11,Aceh,1107,Meulaboh,2014,Desember,8.2,Persen,
11,Aceh,1171,Banda Aceh,2015,Januari,5.97,Persen,
11,Aceh,1171,Banda Aceh,2015,Februari,5.49,Persen,
11,Aceh,1171,Banda Aceh,2015,Maret,5.4,Persen,
11,Aceh,1171,Banda Aceh,2015,April,5.64,Persen,
11,Aceh,1171,Banda Aceh,2015,Mei,5.28,Persen,
11,Aceh,1171,Banda Aceh,2015,Juni,6.12,Persen,
11,Aceh,1171,Banda Aceh,2015,Juli,5.47,Persen,
11,Aceh,1171,Banda Aceh,2015,Agustus,5.17,Persen,
11,Aceh,1171,Banda Aceh,2015,September,4.3,Persen,
11,Aceh,1171,Banda Aceh,2015,Oktober,4.01,Persen,
11,Aceh,1171,Banda Aceh,2015,November,2.93,Persen,
11,Aceh,1171,Banda Aceh,2015,Desember,1.27,Persen,
11,Aceh,1174,Lhokseumawe,2015,Januari,6.43,Persen,
11,Aceh,1174,Lhokseumawe,2015,Februari,5.16,Persen,
11,Aceh,1174,Lhokseumawe,2015,Maret,5.44,Persen,
11,Aceh,1174,Lhokseumawe,2015,April,6.28,Persen,
11,Aceh,1174,Lhokseumawe,2015,Mei,5.45,Persen,
11,Aceh,1174,Lhokseumawe,2015,Juni,6.36,Persen,
